1,rounds,id,label,train_samples,test_samples,distance,local_steps,learning_rate,last_loss
93,0,226,"[6, 4, 4, 5, 6, 6, 2, 4, 3, 3]",28,15,0.12360104424070363,1,0.005,-1
94,0,271,"[5, 6, 7, 6, 5, 3, 3, 13, 5, 4]",42,15,0.14000553191577247,1,0.005,-1
95,0,208,"[4, 4, 5, 9, 4, 2, 5, 6, 3, 4]",30,16,0.12598180930013164,1,0.005,-1
96,0,125,"[5, 7, 4, 5, 4, 6, 2, 7, 5, 8]",40,13,0.11039821874493244,1,0.005,-1
97,0,130,"[5, 3, 5, 3, 1, 1, 2, 4, 9, 8]",29,12,0.2224828025172973,1,0.005,-1
98,0,7,"[3, 1, 6, 5, 5, 4, 5, 4, 3, 3]",22,17,0.15237502235538228,1,0.005,-1
99,0,57,"[2, 12, 6, 5, 9, 7, 3, 6, 12, 6]",52,16,0.16789646622812088,1,0.005,-1
100,0,219,"[5, 9, 3, 0, 2, 4, 4, 3, 2, 0]",17,15,0.3133181694468722,1,0.005,-1
101,0,175,"[6, 8, 4, 11, 3, 8, 5, 5, 12, 4]",53,13,0.15077385805858784,1,0.005,-1
102,0,289,"[5, 2, 2, 3, 2, 1, 2, 6, 7, 5]",18,17,0.19444290824298746,1,0.005,-1
103,0,182,"[4, 5, 12, 8, 7, 9, 11, 3, 7, 5]",57,14,0.15352598882730567,1,0.005,-1
104,0,185,"[4, 2, 3, 2, 2, 5, 1, 6, 3, 3]",19,12,0.16476645552834665,1,0.005,-1
105,0,295,"[6, 6, 1, 6, 2, 3, 2, 9, 2, 5]",25,17,0.1987212979444147,1,0.005,-1
106,0,274,"[5, 3, 4, 2, 2, 0, 4, 4, 2, 7]",19,14,0.2309224848131315,1,0.005,-1
107,0,181,"[8, 5, 7, 8, 8, 7, 5, 4, 9, 3]",51,13,0.12524071704464546,1,0.005,-1
108,0,23,"[2, 6, 1, 3, 2, 5, 1, 5, 6, 6]",24,13,0.2007044648818244,1,0.005,-1
109,0,151,"[6, 4, 3, 3, 1, 1, 5, 2, 4, 4]",17,16,0.17501355043802122,1,0.005,-1
110,0,69,"[5, 3, 7, 4, 4, 5, 6, 5, 2, 12]",40,13,0.16363659036232805,1,0.005,-1
111,0,17,"[5, 5, 5, 3, 8, 6, 4, 6, 3, 6]",39,12,0.10711490815948323,1,0.005,-1
112,0,284,"[6, 4, 2, 3, 6, 5, 9, 9, 10, 6]",50,10,0.1574027755355921,1,0.005,-1
113,0,141,"[4, 2, 5, 6, 7, 5, 5, 3, 6, 7]",36,14,0.13409185058200365,1,0.005,-1
114,0,120,"[10, 9, 5, 5, 3, 3, 3, 9, 3, 5]",41,14,0.15275627320356142,1,0.005,-1
